mirca_code,mirca_name,ecocrop_name
1,Wheat,Wheat
2,Maize,Maize
3,Rice,Rice
4,Barley,Barley
5,Rye,Rye
6,Millet,Pearl millet
7,Sorghum,broom-corn
8,Soybeans,soya bean
9,Sunflower,Sunflower
10,Potatoes,potato
11,Cassava,Cassava
12,Sugar cane,sugarcane
13,Sugar beets,sugarbeet
14,Oil palm,Oil palm
15,Rape seed,rape
16,Groundnuts,groundnut
17,Pulses,NA
18,Citrus,Citrus
19,Date palm,Date palm
20,Grapes,grape
21,Cotton,Cotton
22,Cocoa,Cocoa
23,Coffee,Coffee
24,Others perennial,NA
25,Fodder grasses,NA
26,Others,NA
